# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       7.888564869297e+13       1.214618310173e-25       5.875335773453e-09       1.342629099027e+22       1.294251882443e+04       1.640668364762e-10       1.020978993186e+18       3.392198972991e-09       1.065543236164e+44       7.786446737595e+32       8.920119963819e+33       3.236176255929e-08       7.371096612945e+43       1.802652897555e+44       2.035696211428e-06       4.216369457537e+00 
       7.833728767921e+13       1.231682482813e-25       5.917172529735e-09       1.324027832016e+22       1.294251882443e+04       1.652153043315e-10       1.013881820443e+18       3.415944365802e-09       1.036222920661e+44       7.625194141641e+32       8.735389681976e+33       3.236176255929e-08       7.168267791965e+43       1.753049699952e+44       2.095569629411e-06       4.095901758750e+00 
       7.779273850965e+13       1.248986390014e-25       5.957190296613e-09       1.305684273655e+22       1.294251882443e+04       1.663718114618e-10       1.006833982565e+18       3.439855976362e-09       1.007709405738e+44       7.467280989283e+32       8.554485052385e+33       3.236176255929e-08       6.971020166399e+43       1.704811422471e+44       2.155443047394e-06       3.982126709896e+00 
       7.725197468684e+13       1.266533399807e-25       5.999027052894e-09       1.287594853558e+22       1.294251882443e+04       1.675364141420e-10       9.998351366085e+17       3.463934968197e-09       9.799804908440e+43       7.312638122668e+32       8.377326848105e+33       3.236176255929e-08       6.779200159740e+43       1.657900506909e+44       2.215316465377e-06       3.874501663682e+00 
       7.671496989756e+13       1.284326927541e-25       6.040863809176e-09       1.269756050801e+22       1.294251882443e+04       1.687091690410e-10       9.928849420144e+17       3.488182512974e-09       9.530145863146e+43       7.161197816159e+32       8.203837482937e+33       3.236176255929e-08       6.592658421409e+43       1.612280428545e+44       2.275189883360e-06       3.772541093585e+00 
       7.618169801148e+13       1.302370436546e-25       6.084519554861e-09       1.252164393240e+22       1.294251882443e+04       1.698901332243e-10       9.859830605902e+17       3.512599790565e-09       9.267906965639e+43       7.012893746675e+32       8.033940977445e+33       3.236176255929e-08       6.411249710472e+43       1.567915667699e+44       2.335063301343e-06       3.675809270673e+00 
       7.565213307992e+13       1.320667438809e-25       6.126356311142e-09       1.234816456838e+22       1.294251882443e+04       1.710793641569e-10       9.791291564948e+17       3.537187989098e-09       9.012884037369e+43       6.867660964648e+32       7.867562925681e+33       3.236176255929e-08       6.234832782562e+43       1.524771682079e+44       2.394936719326e-06       3.583914038906e+00 
       7.512624933457e+13       1.339221495657e-25       6.170012056828e-09       1.217708864994e+22       1.294251882443e+04       1.722769197060e-10       9.723228962212e+17       3.561948305022e-09       8.764878518120e+43       6.725435865574e+32       7.704630462600e+33       3.236176255929e-08       6.063270279898e+43       1.482814879886e+44       2.454810137310e-06       3.496501501372e+00 
       7.460402118627e+13       1.358036218449e-25       6.211848813109e-09       1.200838287888e+22       1.294251882443e+04       1.734828581439e-10       9.655639485811e+17       3.586881943157e-09       8.523697311413e+43       6.586156162161e+32       7.545072232147e+33       3.236176255929e-08       5.896428624343e+43       1.442012593658e+44       2.514683555293e-06       3.413251465625e+00 
       7.408542322370e+13       1.377115269282e-25       6.255504558794e-09       1.184201441832e+22       1.294251882443e+04       1.746972381509e-10       9.588519846883e+17       3.611990116759e-09       8.289152634162e+43       6.449760857049e+32       7.388818356008e+33       3.236176255929e-08       5.734177913402e+43       1.402333054837e+44       2.574556973276e-06       3.333873524564e+00 
