[ 0.  0.  0.]
[  410.          1751.60595703   123.86799622]
[  411.          1661.53405762   123.68499756]
[  412.          1631.64599609   123.52799988]
[  413.          1801.98303223   123.39499664]
[  414.          1712.27099609   123.28700256]
[  415.          1982.01098633   123.20200348]
[  416.          1721.23999023   123.14099884]
[  417.          1390.63500977   123.10299683]
[  418.          1703.86694336   123.08899689]
[  419.          1802.42602539   123.09600067]
[  420.          1830.73706055   123.125     ]
[  421.          1638.99499512   123.17500305]
[  422.          1653.74304199   123.2460022 ]
[  423.          1819.51403809   123.33799744]
[  424.          1793.89501953   123.4489975 ]
[  425.          1508.0369873    123.58000183]
[  426.          1622.44299316   123.72899628]
[  427.          1738.05505371   123.89700317]
[  428.          1795.11303711   124.08200073]
[  429.          1953.40405273   124.28500366]
[  430.          1894.42602539   124.50499725]
[  431.          1659.66101074   124.74099731]
[  432.          1956.50500488   124.99299622]
[  433.          1632.78796387   125.26000214]
[  434.          1944.30505371   125.54199982]
[  435.          1841.68994141   125.83799744]
[  436.          1542.18200684   126.14900208]
[  437.          2050.10888672   126.47299957]
[  438.          1852.10998535   126.80999756]
[  439.          1497.36999512   127.16000366]
[  440.          1726.48596191   127.52200317]
[  441.          1834.85498047   127.89499664]
[  442.          2044.31896973   128.27999878]
[  443.          1897.14599609   128.67500305]
[  444.          1850.92700195   129.08000183]
[  445.          1774.43103027   129.4940033 ]
[  446.          1717.99401855   129.91799927]
[  447.          1723.35205078   130.3500061 ]
[  448.          1784.10998535   130.79100037]
[  449.          1881.23095703   131.23899841]
[  450.          2020.16796875   131.69400024]
[  451.          1828.14196777   132.15499878]
[  452.          2164.39501953   132.62399292]
[  453.          1904.22302246   133.09700012]
[  454.          2007.94702148   133.57600403]
[  455.          2134.59594727   134.05999756]
[  456.          2251.45507812   134.54899597]
[  457.          1974.32397461   135.04100037]
[  458.          1976.13598633   135.53700256]
[  459.          2166.59106445   136.03599548]
[  460.          1946.26403809   136.53799438]
[  461.          2186.12402344   137.04200745]
[  462.          2315.22900391   137.54899597]
[  463.          2213.5769043    138.05599976]
[  464.          2113.86108398   138.56500244]
[  465.          2485.44506836   139.07400513]
[  466.          2162.54711914   139.58399963]
[  467.          2251.19897461   140.09399414]
[  468.          2333.18603516   140.60400391]
[  469.          2131.31689453   141.11199951]
[  470.          1983.77197266   141.61999512]
[  471.          2332.52807617   142.125     ]
[  472.          2135.38989258   142.63000488]
[  473.         2254.2019043   143.1309967]
[  474.          2018.63793945   143.63000488]
[  475.          2191.64892578   144.12600708]
[  476.          2291.69604492   144.6190033 ]
[  477.          2275.43310547   145.10800171]
[  478.          2191.10791016   145.59300232]
[  479.          2483.09790039   146.07299805]
[  480.          2312.8840332    146.54899597]
[  481.          2438.6550293    147.01899719]
[  482.          2180.72192383   147.48399353]
[  483.          2546.82202148   147.94299316]
[  484.          2200.63598633   148.39599609]
[  485.          2073.9699707    148.84300232]
[  486.          2488.45507812   149.28199768]
[  487.          2245.60400391   149.71499634]
[  488.          2449.37207031   150.13999939]
[  489.          2050.73706055   150.55599976]
[  490.          2446.10888672   150.96499634]
[  491.          2465.93994141   151.36599731]
[  492.          2516.35498047   151.75799561]
[  493.          2653.99707031   152.14100647]
[  494.          2637.30102539   152.51499939]
[  495.          2301.93408203   152.88000488]
[  496.          2061.10791016   153.23500061]
[  497.          2217.63989258   153.58099365]
[  498.          2382.14501953   153.91700745]
[  499.          2525.54394531   154.24299622]
[  500.          2563.53710938   154.55799866]
[  501.          2661.57299805   154.86300659]
[  502.          2436.80297852   155.15699768]
[  503.          2393.35302734   155.44000244]
[  504.          2758.72607422   155.71200562]
[  505.          2654.20507812   155.97200012]
[  506.          2388.98608398   156.22099304]
[  507.          2470.09692383   156.45700073]
[  508.          2427.5949707    156.68299866]
